id,h,s,v,r,g,b,comp1,comp2,cluster
b4475d8269554d65af9c529e19cf9c0a,0.0,0.045454545454545456,0.17254901960784313,44,42,42,-98.449372224781,4.40961149930547,1
b44dbb730b9a4f91bbecc4c642c90c22,0.5833333333333331,0.12,0.19607843137254904,44,47,50,-90.05515954435316,6.763616747765791,2
b45ca69718574cabb535496ec61b2065,0.08333333333333362,0.047619047619047616,0.16470588235294115,42,41,40,-101.91728996279228,4.232627871979192,1
b465da7c56f24ed38dcc9aea583623f3,0.5,0.041237113402061855,0.3803921568627451,93,97,97,16.58309105420141,-15.843562275977927,3
b475f985a90640648746a8e5371f0505,0.5555555555555555,0.02068965517241372,0.5686274509803921,142,144,145,117.1731785363294,-10.308690677452123,2
b47c0d8cab434fb9a33cd62ce7b046f2,0.9679487179487181,0.10483870967741933,0.9725490196078432,248,222,227,286.9682074070674,56.7015227454877,1
b47d7f76dddb41c2816e5412b3a01127,0.09027777777777776,0.42105263157894735,0.4470588235294118,114,92,66,2.383499623900031,-39.735474462412384,2
b47edbcfd6d5439db2e0854d66cb9960,0.08333333333333362,0.04,0.19607843137254904,50,49,48,-84.18366444527372,2.3491748222547804,3
b4813af8326a4278be7d042e366e1971,0.6666666666666666,0.024691358024691273,0.3176470588235294,79,79,81,-16.83130072895864,-14.357310017638,3
b493d4f581db4299a4a642162d926d52,0.11594202898550722,0.21296296296296305,0.4235294117647059,108,101,85,17.312584100548932,-32.96154363580459,3
b4a757e4fc4641d188085a56b00af9ec,0.16666666666666666,0.01041666666666663,0.3764705882352941,96,96,95,16.027111969526757,-17.0476368118989,0
b4b26b1db77d48f8830f1fb4675b612f,0.6666666666666666,0.021505376344085947,0.3647058823529412,91,91,93,5.144403044421788,-15.11488993989108,1
b4da70c2e2284497bc56b145e81cc0fa,0.0,0.0,0.17254901960784313,44,44,44,-97.14652764217314,4.44268399046356,3
b4f47a16de374f2ba3c256533d855626,0.0,0.09090909090909097,0.215686274509804,55,50,50,-76.8339739864381,-0.5765434118855151,1
b4fcc5cda7124489beada46851676d15,0.0,0.1451612903225806,0.2431372549019608,62,53,53,-68.69832916689379,-6.547882873253451,1
b50018f8a21b49ba9a33c6410bb29101,0.0,0.0,0.015686274509803918,4,4,4,-183.80131246281414,36.35073726760811,3
b5052e8363464902be2140be5278a423,0.5430107526881721,0.8611111111111109,0.8470588235294118,30,168,216,91.32469293211807,99.13043005502225,2
b508cf79c96f4e40af366f1dbc8dba69,0.08411214953271029,0.5721925133689839,0.7333333333333333,187,134,80,90.8398896612704,-69.52808300527921,2
b50df2b9ca68423585358dc26b373ba6,0.0,0.004115226337448545,0.9529411764705882,243,242,242,309.4264712066425,77.19315478337056,2
b5212284e23248808af89f9135f07bfd,0.6666666666666666,0.4318181818181818,0.17254901960784313,25,25,44,-125.580178428075,19.710469539243604,0
b533298edda94d8ba446c67a42479103,0.0,0.0,0.023529411764705882,6,6,6,-177.0519353576667,32.78855405216631,1
b534ab213462417c83d968e5a533ddba,0.04444444444444445,0.4054054054054054,0.4352941176470588,111,78,66,-8.68950952483008,-42.00455447991805,0
b550f2b61fbb474585d84b4e41a3e649,0.22222222222222224,0.4090909090909091,0.08627450980392158,19,22,13,-151.0483328896056,21.172379441180546,2
b5642f66bfd14d6283abf9559d2234b6,0.583333333333333,0.05555555555555555,0.1411764705882353,34,35,36,-116.1134083300394,11.797405898206096,1
b5710106e2184d919c0b8443ac6a1579,0.8333333333333334,0.057142857142857134,0.13725490196078433,35,33,35,-116.30755823634465,12.109966745041909,1
b5724e64ad804398b8bdd3a44ae71b6c,0.0,0.029239766081871243,0.6705882352941176,171,166,166,162.16801220299118,1.7794393700833555,0
b58484c5fea243ca824e15933c1ebc9f,0.0,0.06666666666666674,0.17647058823529413,45,42,42,-96.29130771302091,5.418991391424512,3
b594b4ce028b4ca6b1672b6ca64a7ea7,0.5879629629629629,0.21686746987951816,0.6509803921568628,130,147,166,139.87311985198468,-6.184638788861379,1
b5ad43c57cbf4bda8ea31b6516cf24ec,0.16666666666666666,0.011235955056179735,0.6980392156862745,178,178,176,179.64103454597728,11.611666495655234,0
b5c0eae394c94e0caa91fa511bae4ca6,0.5416666666666665,0.09090909090909093,0.17254901960784313,40,43,44,-99.47836975974815,9.806829487637408,0
b5c298cbe49845e195186b45932d35e8,0.946969696969697,0.13924050632911394,0.6196078431372549,158,136,143,117.9336886842181,-21.02921127656745,0
b5c3aa1d3ba94d4a95c8859a8512c547,0.5,0.005813953488372237,0.6745098039215687,171,172,172,169.2868780651061,7.235578598648107,2
b5c7df4763a34a268717eddffab4a72b,0.09722222222222222,0.3773584905660377,0.6235294117647059,159,134,99,88.47000396603895,-51.36229894542758,0
b5c9d5eac9c94a3fb6c350a5cdb1f29c,0.22916666666666674,0.07547169811320754,0.41568627450980394,103,106,98,29.872428539914427,-18.903872448770624,0
b5db5a0155c34a6ca0981e08957b5443,0.11111111111111098,0.07692307692307701,0.15294117647058825,39,38,36,-109.05984046671185,7.017304592386628,3
b5e653de876348f4834ca52aaf9f410e,0.10606060606060604,0.15942028985507242,0.5411764705882353,138,130,116,82.76715145066541,-26.11152116420748,0
b5eb6d604e3b4305a1e8aa3ca3763b60,0.0,0.0,0.10980392156862744,28,28,28,-130.24446762476146,15.952060262579556,3
b5ecdb6253a7454c916954bef6c10251,0.5882352941176471,0.10429447852760734,0.6392156862745098,146,154,163,137.63723254301732,-0.6848472932244125,0
b5f1114364fe4f3080c8e55ecbc9ccfe,0.017094017094017092,0.3786407766990291,0.807843137254902,206,136,128,143.2820966808594,-48.63938826618492,2
b5f1c996404d4262aaed8f9282069d72,0.09166666666666674,0.12048192771084346,0.6509803921568628,166,157,146,140.14098366914985,-14.776750940369176,3
b5f2db26719943a78b6a45351dd630c1,0.05459770114942528,0.3186813186813187,0.7137254901960784,182,143,124,132.5545020213233,-45.92674037623332,2
b60541a56cbd4515b3da273a4680ccfe,0.916666666666667,0.05063291139240506,0.30980392156862746,79,75,77,-23.968487447204193,-13.19844177272037,2
b611372773c34b718a7b0787feb27f81,0.5686274509803922,0.33333333333333337,0.2,34,44,51,-98.16615265986643,12.807304481097233,2
b61c19fc7d9e4abfbadb6f8f4df5a98e,0.027777777777778036,0.08000000000000007,0.29411764705882354,75,70,69,-37.420832554940006,-10.236015250713736,1
b61cffbfbe66495b97a9a101b1859bbc,0.5740740740740741,0.15652173913043485,0.4509803921568628,97,107,115,30.646842033863198,-17.76229909471009,3
b623241927db4964807f25e627fe29e1,0.0,0.0,0.16862745098039214,43,43,43,47.24366955355679,115.60813623337346,1
b63251cfaa854dff81c3efaabbe5149b,0.08080808080808081,0.2275862068965517,0.5686274509803921,145,128,112,83.56836583344665,-35.65867741973468,0
b6364256d13e443182c55cc45ce8bebc,0.4032258064516129,0.20261437908496727,0.6,122,153,135,109.78600639586959,-15.64177325931051,2
b6394d0dca514c5a8666804babe4e68d,0.05357142857142858,0.4000000000000001,0.27450980392156865,70,51,42,-74.70973003178662,-14.070272168969359,1
b639aa860b49406893f1b5a4c58dc2d8,0.4796747967479675,0.6890756302521007,0.4666666666666667,37,119,109,-21.58413720427118,7.202872033440665,2
b63c654f33314401adf52f65b6c1b592,0.6666666666666666,0.31914893617021284,0.1843137254901961,32,32,47,-112.4638504480645,16.704495359473007,2
b63f9782e5664e3d97334198627be76a,0.07575757575757576,0.275,0.6274509803921569,160,136,116,103.12020060300209,-39.879512176095865,0
b64e62bd4f9c46d78670489564844ffe,0.0691056910569106,0.3474576271186441,0.4627450980392157,118,94,77,17.390813044839643,-40.86297791907279,0
b660d544816b4a3da8b757df005835ac,0.0,0.05263157894736842,0.07450980392156863,19,18,18,-151.50373302342908,22.42221281710297,1
b6696f5234714b189434b0fe865205c8,0.5,0.02439024390243911,0.1607843137254902,40,41,41,-103.07184599711044,7.261130327428333,1
b675b565314f4189a37fd53684a6c50c,0.576923076923077,0.17333333333333334,0.8823529411764706,186,207,225,243.4216632384057,45.287825339321145,1
b67b8b37db7b4fb4ac4b53e2425d8ddf,0.03939393939393943,0.2777777777777778,0.7764705882352941,198,156,143,163.7227851850315,-33.83303441924357,2
b67df79795d6473fbb4dc6fcd4d2b6fa,0.5,0.1176470588235294,0.13333333333333333,30,34,34,-120.38348678817816,13.75514244675937,3
b681dfcab1c641d5966738cc6977c611,0.511904761904762,0.12727272727272732,0.8627450980392157,192,218,220,252.37933398732974,48.395273501653996,0
b6868ca7810d4edda620eb02782f5d78,0.0,0.0,0.1803921568627451,46,46,46,-91.86595539961996,5.062783482164713,1
b68703d072cf472d80b7d3af02e65b1b,0.033333333333333236,0.10869565217391296,0.1803921568627451,46,42,41,-96.90778229785143,3.9618599745264973,1
b68da033e5da46408a1b58ccdc973435,0.0,0.0,0.8156862745098039,208,208,208,240.972519488744,37.159608335557664,3
b6974e3261d643b688637cec896987dc,0.09444444444444444,0.3680981595092024,0.6392156862745098,163,137,103,90.12601842015219,-52.611180126216716,3
b69e2a5dd7de4d7a8e091768d54a63e6,0.06944444444444446,0.3461538461538461,0.40784313725490207,104,83,68,-9.76177954047744,-32.423175362717444,0
b6a174a51daa4e68ac92fd4e29a1fb59,0.12500000000000006,0.1935483870967742,0.2431372549019608,62,59,50,-65.73471664391008,-8.822634220168384,2
